timestamp,led
30.233,adacdcdcdcdcada
,cdccdcdcdcdccdc
,adaadadadadaada
,aeaaeaeceaeaaea
,aeacececececaea
,ceccececececcec
,aeaaeaeaeaeaaea
,abaababcbabaaba
,abacbcbcbcbcaba
,cbccbcbcbcbccbc
,abaababababaaba
